OTHER_COM1_118-325.wav: ... (A) tre tre tre nio fem, (A) tre tre tre nio fem, ställ in din Comm-ett radio på frekvens ett ett åtta punkt tre två fem.
OTHER_NAV2_111-350.wav: ... Citrus två ett ett, Citrus två ett ett, ställ in din Nav-två radio på frekvens ett ett ett punkt tre fem noll.
OTHER_NAV2_112-550.wav: ... AC fem ett sju ett, AC fem ett sju ett, ställ in din Nav-två radio på frekvens ett ett två punkt fem fem noll.
OTHER_NAV2_113-400.wav: ... SK fem åtta noll, SK fem åtta noll, ställ in din Nav-två radio på frekvens ett ett tre punkt fyra noll noll.
OTHER_NAV2_114-900.wav: ... (A) tre tre tre nio fem, (A) tre tre tre nio fem, ställ in din Nav-två radio på frekvens ett ett fyra punkt nio noll noll.
OTHER_NAV2_115-050.wav: ... Citrus två ett ett, Citrus två ett ett, ställ in din Nav-två radio på frekvens ett ett fem punkt noll fem noll.
OTHER_NAV2_116-850.wav: ... AC fem ett sju ett, AC fem ett sju ett, ställ in din Nav-två radio på frekvens ett ett sex punkt åtta fem noll.
OTHER_NAV2_117-950.wav: ... SK fem åtta noll, SK fem åtta noll, ställ in din Nav-två radio på frekvens ett ett sju punkt nio fem noll.
OWN_COM1_124-575.wav: ... isa fem noll fyra, isa fem noll fyra, ställ in din Comm-ett radio på frekvens ett två fyra punkt fem sju fem.
OWN_COM1_125-500.wav: ... isa fem noll fyra, isa fem noll fyra, ställ in din Comm-ett radio på frekvens ett två fem punkt fem noll noll.
OWN_COM1_125-550.wav: ... isa fem noll fyra, isa fem noll fyra, ställ in din Comm-ett radio på frekvens ett två fem punkt fem fem noll.
OWN_COM1_126-450.wav: ... isa fem noll fyra, isa fem noll fyra, ställ in din Comm-ett radio på frekvens ett två sex punkt fyra fem noll.
OWN_COM1_126-525.wav: ... isa fem noll fyra, isa fem noll fyra, ställ in din Comm-ett radio på frekvens ett två sex punkt fem två fem.
OWN_COM1_127-500.wav: ... isa fem noll fyra, isa fem noll fyra, ställ in din Comm-ett radio på frekvens ett två sju punkt fem noll noll.
OWN_COM1_127-550.wav: ... isa fem noll fyra, isa fem noll fyra, ställ in din Comm-ett radio på frekvens ett två sju punkt fem fem noll.
OWN_COM1_128-475.wav: ... isa fem noll fyra, isa fem noll fyra, ställ in din Comm-ett radio på frekvens ett två åtta punkt fyra sju fem.
OWN_COM1_128-575.wav: ... isa fem noll fyra, isa fem noll fyra, ställ in din Comm-ett radio på frekvens ett två åtta punkt fem sju fem.
OWN_COM1_129-450.wav: ... isa fem noll fyra, isa fem noll fyra, ställ in din Comm-ett radio på frekvens ett två nio punkt fyra fem noll.
OWN_COM2_124-450.wav: ... isa fem noll fyra, isa fem noll fyra, ställ in din Comm-två radio på frekvens ett två fyra punkt fyra fem noll.
OWN_COM2_125-500.wav: ... isa fem noll fyra, isa fem noll fyra, ställ in din Comm-två radio på frekvens ett två fem punkt fem noll noll.
OWN_COM2_125-575.wav: ... isa fem noll fyra, isa fem noll fyra, ställ in din Comm-två radio på frekvens ett två fem punkt fem sju fem.
OWN_COM2_126-475.wav: ... isa fem noll fyra, isa fem noll fyra, ställ in din Comm-två radio på frekvens ett två sex punkt fyra sju fem.
OWN_COM2_126-550.wav: ... isa fem noll fyra, isa fem noll fyra, ställ in din Comm-två radio på frekvens ett två sex punkt fem fem noll.
OWN_COM2_127-500.wav: ... isa fem noll fyra, isa fem noll fyra, ställ in din Comm-två radio på frekvens ett två sju punkt fem noll noll.
OWN_COM2_127-525.wav: ... isa fem noll fyra, isa fem noll fyra, ställ in din Comm-två radio på frekvens ett två sju punkt fem två fem.
OWN_COM2_128-525.wav: ... isa fem noll fyra, isa fem noll fyra, ställ in din Comm-två radio på frekvens ett två åtta punkt fem två fem.
OWN_COM2_128-550.wav: ... isa fem noll fyra, isa fem noll fyra, ställ in din Comm-två radio på frekvens ett två åtta punkt fem fem noll.
OWN_COM2_129-575.wav: ... isa fem noll fyra, isa fem noll fyra, ställ in din Comm-två radio på frekvens ett två nio punkt fem sju fem.
OWN_NAV1_110-650.wav: ... isa fem noll fyra, isa fem noll fyra, ställ in din Nav-ett radio på frekvens ett ett noll punkt sex fem noll.
OWN_NAV1_111-500.wav: ... isa fem noll fyra, isa fem noll fyra, ställ in din Nav-ett radio på frekvens ett ett ett punkt fem noll noll.
OWN_NAV1_111-600.wav: ... isa fem noll fyra, isa fem noll fyra, ställ in din Nav-ett radio på frekvens ett ett ett punkt sex noll noll.
OWN_NAV1_112-450.wav: ... isa fem noll fyra, isa fem noll fyra, ställ in din Nav-ett radio på frekvens ett ett två punkt fyra fem noll.
OWN_NAV1_112-550.wav: ... isa fem noll fyra, isa fem noll fyra, ställ in din Nav-ett radio på frekvens ett ett två punkt fem fem noll.
OWN_NAV1_113-500.wav: ... isa fem noll fyra, isa fem noll fyra, ställ in din Nav-ett radio på frekvens ett ett tre punkt fem noll noll.
OWN_NAV1_113-600.wav: ... isa fem noll fyra, isa fem noll fyra, ställ in din Nav-ett radio på frekvens ett ett tre punkt sex noll noll.
OWN_NAV1_114-450.wav: ... isa fem noll fyra, isa fem noll fyra, ställ in din Nav-ett radio på frekvens ett ett fyra punkt fyra fem noll.
OWN_NAV1_114-650.wav: ... isa fem noll fyra, isa fem noll fyra, ställ in din Nav-ett radio på frekvens ett ett fyra punkt sex fem noll.
OWN_NAV1_115-400.wav: ... isa fem noll fyra, isa fem noll fyra, ställ in din Nav-ett radio på frekvens ett ett fem punkt fyra noll noll.
OWN_NAV2_110-500.wav: ... isa fem noll fyra, isa fem noll fyra, ställ in din Nav-två radio på frekvens ett ett noll punkt fem noll noll.
OWN_NAV2_111-400.wav: ... isa fem noll fyra, isa fem noll fyra, ställ in din Nav-två radio på frekvens ett ett ett punkt fyra noll noll.
OWN_NAV2_111-650.wav: ... isa fem noll fyra, isa fem noll fyra, ställ in din Nav-två radio på frekvens ett ett ett punkt sex fem noll.
OWN_NAV2_112-450.wav: ... isa fem noll fyra, isa fem noll fyra, ställ in din Nav-två radio på frekvens ett ett två punkt fyra fem noll.
OWN_NAV2_112-600.wav: ... isa fem noll fyra, isa fem noll fyra, ställ in din Nav-två radio på frekvens ett ett två punkt sex noll noll.
OWN_NAV2_113-500.wav: ... isa fem noll fyra, isa fem noll fyra, ställ in din Nav-två radio på frekvens ett ett tre punkt fem noll noll.
OWN_NAV2_113-550.wav: ... isa fem noll fyra, isa fem noll fyra, ställ in din Nav-två radio på frekvens ett ett tre punkt fem fem noll.
OWN_NAV2_114-450.wav: ... isa fem noll fyra, isa fem noll fyra, ställ in din Nav-två radio på frekvens ett ett fyra punkt fyra fem noll.
OWN_NAV2_114-600.wav: ... isa fem noll fyra, isa fem noll fyra, ställ in din Nav-två radio på frekvens ett ett fyra punkt sex noll noll.
OWN_NAV2_115-650.wav: ... isa fem noll fyra, isa fem noll fyra, ställ in din Nav-två radio på frekvens ett ett fem punkt sex fem noll.
