OTHER_COM1_118-325.wav: Άλφα 3 3 3 9 5, Άλφα 3 3 3 9 5, ρυθμίστε το ραδιόφωνο Κομ 1, στη συχνότητα, 1 1 8, κόμμα, 3 2 5
OTHER_NAV1_112-150.wav: Άλφα 3 3 3 9 5, Άλφα 3 3 3 9 5, ρυθμίστε το ραδιόφωνο Ναβ 1, στη συχνότητα, 1 1 2, κόμμα, 1 5 0
OTHER_NAV1_113-000.wav: Σίτρους 2 1 1, Σίτρους 2 1 1, ρυθμίστε το ραδιόφωνο Ναβ 1, στη συχνότητα, 1 1 3, κόμμα, 0 0 0
OTHER_NAV1_114-500.wav: Έι Σι 5 1 7 1, Έι Σι 5 1 7 1, ρυθμίστε το ραδιόφωνο Ναβ 1, στη συχνότητα, 1 1 4, κόμμα, 5 0 0
OTHER_NAV1_115-750.wav: Ές Κά 5 8 0, Ές Κά 5 8 0, ρυθμίστε το ραδιόφωνο Ναβ 1, στη συχνότητα, 1 1 5, κόμμα, 7 5 0
OTHER_NAV1_116-450.wav: Άλφα 3 3 3 9 5, Άλφα 3 3 3 9 5, ρυθμίστε το ραδιόφωνο Ναβ 1, στη συχνότητα, 1 1 6, κόμμα, 4 5 0
OTHER_NAV1_117-650.wav: Σίτρους 2 1 1, Σίτρους 2 1 1, ρυθμίστε το ραδιόφωνο Ναβ 1, στη συχνότητα, 1 1 7, κόμμα, 6 5 0
OTHER_NAV2_108-750.wav: Έι Σι 5 1 7 1, Έι Σι 5 1 7 1, ρυθμίστε το ραδιόφωνο Ναβ 2, στη συχνότητα, 1 0 8, κόμμα, 7 5 0
OTHER_NAV2_109-650.wav: Ές Κά 5 8 0, Ές Κά 5 8 0, ρυθμίστε το ραδιόφωνο Ναβ 2, στη συχνότητα, 1 0 9, κόμμα, 6 5 0
OTHER_NAV2_110-800.wav: Άλφα 3 3 3 9 5, Άλφα 3 3 3 9 5, ρυθμίστε το ραδιόφωνο Ναβ 2, στη συχνότητα, 1 1 0, κόμμα, 8 0 0
OTHER_NAV2_111-350.wav: Σίτρους 2 1 1, Σίτρους 2 1 1, ρυθμίστε το ραδιόφωνο Ναβ 2, στη συχνότητα, 1 1 1, κόμμα, 3 5 0
OTHER_NAV2_112-550.wav: Έι Σι 5 1 7 1, Έι Σι 5 1 7 1, ρυθμίστε το ραδιόφωνο Ναβ 2, στη συχνότητα, 1 1 2, κόμμα, 5 5 0
OTHER_NAV2_113-400.wav: Ές Κά 5 8 0, Ές Κά 5 8 0, ρυθμίστε το ραδιόφωνο Ναβ 2, στη συχνότητα, 1 1 3, κόμμα, 4 0 0
OTHER_NAV2_114-900.wav: Άλφα 3 3 3 9 5, Άλφα 3 3 3 9 5, ρυθμίστε το ραδιόφωνο Ναβ 2, στη συχνότητα, 1 1 4, κόμμα, 9 0 0
OTHER_NAV2_115-050.wav: Σίτρους 2 1 1, Σίτρους 2 1 1, ρυθμίστε το ραδιόφωνο Ναβ 2, στη συχνότητα, 1 1 5, κόμμα, 0 5 0
OTHER_NAV2_116-850.wav: Έι Σι 5 1 7 1, Έι Σι 5 1 7 1, ρυθμίστε το ραδιόφωνο Ναβ 2, στη συχνότητα, 1 1 6, κόμμα, 8 5 0
OTHER_NAV2_117-950.wav: Ές Κά 5 8 0, Ές Κά 5 8 0, ρυθμίστε το ραδιόφωνο Ναβ 2, στη συχνότητα, 1 1 7, κόμμα, 9 5 0
OWN_COM1_124-575.wav: Ίσα 5 0 4, Ίσα 5 0 4, ρυθμίστε το ραδιόφωνο Κομ 1, στη συχνότητα, 1 2 4, κόμμα, 5 7 5
OWN_COM1_125-500.wav: Ίσα 5 0 4, Ίσα 5 0 4, ρυθμίστε το ραδιόφωνο Κομ 1, στη συχνότητα, 1 2 5, κόμμα, 5 0 0
OWN_COM1_125-550.wav: Ίσα 5 0 4, Ίσα 5 0 4, ρυθμίστε το ραδιόφωνο Κομ 1, στη συχνότητα, 1 2 5, κόμμα, 5 5 0
OWN_COM1_126-450.wav: Ίσα 5 0 4, Ίσα 5 0 4, ρυθμίστε το ραδιόφωνο Κομ 1, στη συχνότητα, 1 2 6, κόμμα, 4 5 0
OWN_COM1_126-525.wav: Ίσα 5 0 4, Ίσα 5 0 4, ρυθμίστε το ραδιόφωνο Κομ 1, στη συχνότητα, 1 2 6, κόμμα, 5 2 5
OWN_COM1_127-500.wav: Ίσα 5 0 4, Ίσα 5 0 4, ρυθμίστε το ραδιόφωνο Κομ 1, στη συχνότητα, 1 2 7, κόμμα, 5 0 0
OWN_COM1_127-550.wav: Ίσα 5 0 4, Ίσα 5 0 4, ρυθμίστε το ραδιόφωνο Κομ 1, στη συχνότητα, 1 2 7, κόμμα, 5 5 0
OWN_COM1_128-475.wav: Ίσα 5 0 4, Ίσα 5 0 4, ρυθμίστε το ραδιόφωνο Κομ 1, στη συχνότητα, 1 2 8, κόμμα, 4 7 5
OWN_COM1_128-575.wav: Ίσα 5 0 4, Ίσα 5 0 4, ρυθμίστε το ραδιόφωνο Κομ 1, στη συχνότητα, 1 2 8, κόμμα, 5 7 5
OWN_COM1_129-450.wav: Ίσα 5 0 4, Ίσα 5 0 4, ρυθμίστε το ραδιόφωνο Κομ 1, στη συχνότητα, 1 2 9, κόμμα, 4 5 0
OWN_COM2_124-450.wav: Ίσα 5 0 4, Ίσα 5 0 4, ρυθμίστε το ραδιόφωνο Κομ 2, στη συχνότητα, 1 2 4, κόμμα, 4 5 0
OWN_COM2_125-500.wav: Ίσα 5 0 4, Ίσα 5 0 4, ρυθμίστε το ραδιόφωνο Κομ 2, στη συχνότητα, 1 2 5, κόμμα, 5 0 0
OWN_COM2_125-575.wav: Ίσα 5 0 4, Ίσα 5 0 4, ρυθμίστε το ραδιόφωνο Κομ 2, στη συχνότητα, 1 2 5, κόμμα, 5 7 5
OWN_COM2_126-475.wav: Ίσα 5 0 4, Ίσα 5 0 4, ρυθμίστε το ραδιόφωνο Κομ 2, στη συχνότητα, 1 2 6, κόμμα, 4 7 5
OWN_COM2_126-550.wav: Ίσα 5 0 4, Ίσα 5 0 4, ρυθμίστε το ραδιόφωνο Κομ 2, στη συχνότητα, 1 2 6, κόμμα, 5 5 0
OWN_COM2_127-500.wav: Ίσα 5 0 4, Ίσα 5 0 4, ρυθμίστε το ραδιόφωνο Κομ 2, στη συχνότητα, 1 2 7, κόμμα, 5 0 0
OWN_COM2_127-525.wav: Ίσα 5 0 4, Ίσα 5 0 4, ρυθμίστε το ραδιόφωνο Κομ 2, στη συχνότητα, 1 2 7, κόμμα, 5 2 5
OWN_COM2_128-525.wav: Ίσα 5 0 4, Ίσα 5 0 4, ρυθμίστε το ραδιόφωνο Κομ 2, στη συχνότητα, 1 2 8, κόμμα, 5 2 5
OWN_COM2_128-550.wav: Ίσα 5 0 4, Ίσα 5 0 4, ρυθμίστε το ραδιόφωνο Κομ 2, στη συχνότητα, 1 2 8, κόμμα, 5 5 0
OWN_COM2_129-575.wav: Ίσα 5 0 4, Ίσα 5 0 4, ρυθμίστε το ραδιόφωνο Κομ 2, στη συχνότητα, 1 2 9, κόμμα, 5 7 5
OWN_NAV1_110-650.wav: Ίσα 5 0 4, Ίσα 5 0 4, ρυθμίστε το ραδιόφωνο Ναβ 1, στη συχνότητα, 1 1 0, κόμμα, 6 5 0
OWN_NAV1_111-500.wav: Ίσα 5 0 4, Ίσα 5 0 4, ρυθμίστε το ραδιόφωνο Ναβ 1, στη συχνότητα, 1 1 1, κόμμα, 5 0 0
OWN_NAV1_111-600.wav: Ίσα 5 0 4, Ίσα 5 0 4, ρυθμίστε το ραδιόφωνο Ναβ 1, στη συχνότητα, 1 1 1, κόμμα, 6 0 0
OWN_NAV1_112-450.wav: Ίσα 5 0 4, Ίσα 5 0 4, ρυθμίστε το ραδιόφωνο Ναβ 1, στη συχνότητα, 1 1 2, κόμμα, 4 5 0
OWN_NAV1_112-550.wav: Ίσα 5 0 4, Ίσα 5 0 4, ρυθμίστε το ραδιόφωνο Ναβ 1, στη συχνότητα, 1 1 2, κόμμα, 5 5 0
OWN_NAV1_113-500.wav: Ίσα 5 0 4, Ίσα 5 0 4, ρυθμίστε το ραδιόφωνο Ναβ 1, στη συχνότητα, 1 1 3, κόμμα, 5 0 0
OWN_NAV1_113-600.wav: Ίσα 5 0 4, Ίσα 5 0 4, ρυθμίστε το ραδιόφωνο Ναβ 1, στη συχνότητα, 1 1 3, κόμμα, 6 0 0
OWN_NAV1_114-450.wav: Ίσα 5 0 4, Ίσα 5 0 4, ρυθμίστε το ραδιόφωνο Ναβ 1, στη συχνότητα, 1 1 4, κόμμα, 4 5 0
OWN_NAV1_114-650.wav: Ίσα 5 0 4, Ίσα 5 0 4, ρυθμίστε το ραδιόφωνο Ναβ 1, στη συχνότητα, 1 1 4, κόμμα, 6 5 0
OWN_NAV1_115-400.wav: Ίσα 5 0 4, Ίσα 5 0 4, ρυθμίστε το ραδιόφωνο Ναβ 1, στη συχνότητα, 1 1 5, κόμμα, 4 0 0
OWN_NAV2_110-500.wav: Ίσα 5 0 4, Ίσα 5 0 4, ρυθμίστε το ραδιόφωνο Ναβ 2, στη συχνότητα, 1 1 0, κόμμα, 5 0 0
OWN_NAV2_111-400.wav: Ίσα 5 0 4, Ίσα 5 0 4, ρυθμίστε το ραδιόφωνο Ναβ 2, στη συχνότητα, 1 1 1, κόμμα, 4 0 0
OWN_NAV2_111-650.wav: Ίσα 5 0 4, Ίσα 5 0 4, ρυθμίστε το ραδιόφωνο Ναβ 2, στη συχνότητα, 1 1 1, κόμμα, 6 5 0
OWN_NAV2_112-450.wav: Ίσα 5 0 4, Ίσα 5 0 4, ρυθμίστε το ραδιόφωνο Ναβ 2, στη συχνότητα, 1 1 2, κόμμα, 4 5 0
OWN_NAV2_112-600.wav: Ίσα 5 0 4, Ίσα 5 0 4, ρυθμίστε το ραδιόφωνο Ναβ 2, στη συχνότητα, 1 1 2, κόμμα, 6 0 0
OWN_NAV2_113-500.wav: Ίσα 5 0 4, Ίσα 5 0 4, ρυθμίστε το ραδιόφωνο Ναβ 2, στη συχνότητα, 1 1 3, κόμμα, 5 0 0
OWN_NAV2_113-550.wav: Ίσα 5 0 4, Ίσα 5 0 4, ρυθμίστε το ραδιόφωνο Ναβ 2, στη συχνότητα, 1 1 3, κόμμα, 5 5 0
OWN_NAV2_114-450.wav: Ίσα 5 0 4, Ίσα 5 0 4, ρυθμίστε το ραδιόφωνο Ναβ 2, στη συχνότητα, 1 1 4, κόμμα, 4 5 0
OWN_NAV2_114-600.wav: Ίσα 5 0 4, Ίσα 5 0 4, ρυθμίστε το ραδιόφωνο Ναβ 2, στη συχνότητα, 1 1 4, κόμμα, 6 0 0
OWN_NAV2_115-650.wav: Ίσα 5 0 4, Ίσα 5 0 4, ρυθμίστε το ραδιόφωνο Ναβ 2, στη συχνότητα, 1 1 5, κόμμα, 6 5 0
