OTHER_COM1_118-325.wav: ... (A) three three three nine five, (A) three three three nine five, turn your Comm one radio to frequency one one eight point three two five.
OTHER_NAV1_114-500.wav: ... AC five one seven one, AC five one seven one, turn your Nav one radio to frequency one one four point five zero zero.
OTHER_NAV1_115-750.wav: ... SK five eight zero, SK five eight zero, turn your Nav one radio to frequency one one five point seven five zero.
OTHER_NAV1_116-450.wav: ... (A) three three three nine five, (A) three three three nine five, turn your Nav one radio to frequency one one six point four five zero.
OTHER_NAV1_117-650.wav: ... Citrus two one one, Citrus two one one, turn your Nav one radio to frequency one one seven point six five zero.
OTHER_NAV2_108-750.wav: ... AC five one seven one, AC five one seven one, turn your Nav two radio to frequency one zero eight point seven five zero.
OTHER_NAV2_109-650.wav: ... SK five eight zero, SK five eight zero, turn your Nav two radio to frequency one zero nine point six five zero.
OTHER_NAV2_110-800.wav: ... (A) three three three nine five, (A) three three three nine five, turn your Nav two radio to frequency one one zero point eight zero zero.
OTHER_NAV2_111-350.wav: ... Citrus two one one, Citrus two one one, turn your Nav two radio to frequency one one one point three five zero.
OTHER_NAV2_112-550.wav: ... AC five one seven one, AC five one seven one, turn your Nav two radio to frequency one one two point five five zero.
OTHER_NAV2_113-400.wav: ... SK five eight zero, SK five eight zero, turn your Nav two radio to frequency one one three point four zero zero.
OTHER_NAV2_114-900.wav: ... (A) three three three nine five, (A) three three three nine five, turn your Nav two radio to frequency one one four point nine zero zero.
OTHER_NAV2_115-050.wav: ... Citrus two one one, Citrus two one one, turn your Nav two radio to frequency one one five point zero five zero.
OTHER_NAV2_116-850.wav: ... AC five one seven one, AC five one seven one, turn your Nav two radio to frequency one one six point eight five zero.
OTHER_NAV2_117-950.wav: ... SK five eight zero, SK five eight zero, turn your Nav two radio to frequency one one seven point nine five zero.
OWN_COM1_124-575.wav: ... eeza five zero four, eeza five zero four, turn your Comm one radio to frequency one two four point five seven five.
OWN_COM1_125-500.wav: ... eeza five zero four, eeza five zero four, turn your Comm one radio to frequency one two five point five zero zero.
OWN_COM1_125-550.wav: ... eeza five zero four, eeza five zero four, turn your Comm one radio to frequency one two five point five five zero.
OWN_COM1_126-450.wav: ... eeza five zero four, eeza five zero four, turn your Comm one radio to frequency one two six point four five zero.
OWN_COM1_126-525.wav: ... eeza five zero four, eeza five zero four, turn your Comm one radio to frequency one two six point five two five.
OWN_COM1_127-500.wav: ... eeza five zero four, eeza five zero four, turn your Comm one radio to frequency one two seven point five zero zero.
OWN_COM1_127-550.wav: ... eeza five zero four, eeza five zero four, turn your Comm one radio to frequency one two seven point five five zero.
OWN_COM1_128-475.wav: ... eeza five zero four, eeza five zero four, turn your Comm one radio to frequency one two eight point four seven five.
OWN_COM1_128-575.wav: ... eeza five zero four, eeza five zero four, turn your Comm one radio to frequency one two eight point five seven five.
OWN_COM1_129-450.wav: ... eeza five zero four, eeza five zero four, turn your Comm one radio to frequency one two nine point four five zero.
OWN_COM2_124-450.wav: ... eeza five zero four, eeza five zero four, turn your Comm two radio to frequency one two four point four five zero.
OWN_COM2_125-500.wav: ... eeza five zero four, eeza five zero four, turn your Comm two radio to frequency one two five point five zero zero.
OWN_COM2_125-575.wav: ... eeza five zero four, eeza five zero four, turn your Comm two radio to frequency one two five point five seven five.
OWN_COM2_126-475.wav: ... eeza five zero four, eeza five zero four, turn your Comm two radio to frequency one two six point four seven five.
OWN_COM2_126-550.wav: ... eeza five zero four, eeza five zero four, turn your Comm two radio to frequency one two six point five five zero.
OWN_COM2_127-500.wav: ... eeza five zero four, eeza five zero four, turn your Comm two radio to frequency one two seven point five zero zero.
OWN_COM2_127-525.wav: ... eeza five zero four, eeza five zero four, turn your Comm two radio to frequency one two seven point five two five.
OWN_COM2_128-525.wav: ... eeza five zero four, eeza five zero four, turn your Comm two radio to frequency one two eight point five two five.
OWN_COM2_128-550.wav: ... eeza five zero four, eeza five zero four, turn your Comm two radio to frequency one two eight point five five zero.
OWN_COM2_129-575.wav: ... eeza five zero four, eeza five zero four, turn your Comm two radio to frequency one two nine point five seven five.
OWN_NAV1_110-650.wav: ... eeza five zero four, eeza five zero four, turn your Nav one radio to frequency one one zero point six five zero.
OWN_NAV1_111-500.wav: ... eeza five zero four, eeza five zero four, turn your Nav one radio to frequency one one one point five zero zero.
OWN_NAV1_111-600.wav: ... eeza five zero four, eeza five zero four, turn your Nav one radio to frequency one one one point six zero zero.
OWN_NAV1_112-450.wav: ... eeza five zero four, eeza five zero four, turn your Nav one radio to frequency one one two point four five zero.
OWN_NAV1_112-550.wav: ... eeza five zero four, eeza five zero four, turn your Nav one radio to frequency one one two point five five zero.
OWN_NAV1_113-500.wav: ... eeza five zero four, eeza five zero four, turn your Nav one radio to frequency one one three point five zero zero.
OWN_NAV1_113-600.wav: ... eeza five zero four, eeza five zero four, turn your Nav one radio to frequency one one three point six zero zero.
OWN_NAV1_114-450.wav: ... eeza five zero four, eeza five zero four, turn your Nav one radio to frequency one one four point four five zero.
OWN_NAV1_114-650.wav: ... eeza five zero four, eeza five zero four, turn your Nav one radio to frequency one one four point six five zero.
OWN_NAV1_115-400.wav: ... eeza five zero four, eeza five zero four, turn your Nav one radio to frequency one one five point four zero zero.
OWN_NAV2_110-500.wav: ... eeza five zero four, eeza five zero four, turn your Nav two radio to frequency one one zero point five zero zero.
OWN_NAV2_111-400.wav: ... eeza five zero four, eeza five zero four, turn your Nav two radio to frequency one one one point four zero zero.
OWN_NAV2_111-650.wav: ... eeza five zero four, eeza five zero four, turn your Nav two radio to frequency one one one point six five zero.
OWN_NAV2_112-450.wav: ... eeza five zero four, eeza five zero four, turn your Nav two radio to frequency one one two point four five zero.
OWN_NAV2_112-600.wav: ... eeza five zero four, eeza five zero four, turn your Nav two radio to frequency one one two point six zero zero.
OWN_NAV2_113-500.wav: ... eeza five zero four, eeza five zero four, turn your Nav two radio to frequency one one three point five zero zero.
OWN_NAV2_113-550.wav: ... eeza five zero four, eeza five zero four, turn your Nav two radio to frequency one one three point five five zero.
OWN_NAV2_114-450.wav: ... eeza five zero four, eeza five zero four, turn your Nav two radio to frequency one one four point four five zero.
OWN_NAV2_114-600.wav: ... eeza five zero four, eeza five zero four, turn your Nav two radio to frequency one one four point six zero zero.
OWN_NAV2_115-650.wav: ... eeza five zero four, eeza five zero four, turn your Nav two radio to frequency one one five point six five zero.
