OTHER_COM1_118-325.wav: A 3 3 3 9 5, A 3 3 3 9 5, turn your Comm 1 radio, to frequency, one one eight, point, tree two fife
OWN_NAV1_112-450.wav: eesah 5 0 4, eesah 5 0 4, turn your Nav 1 radio, to frequency, one one two, point, fower fife zero
OWN_NAV1_112-550.wav: eesah 5 0 4, eesah 5 0 4, turn your Nav 1 radio, to frequency, one one two, point, fife fife zero
OWN_NAV1_113-500.wav: eesah 5 0 4, eesah 5 0 4, turn your Nav 1 radio, to frequency, one one tree, point, fife zero zero
OWN_NAV1_113-600.wav: eesah 5 0 4, eesah 5 0 4, turn your Nav 1 radio, to frequency, one one tree, point, six zero zero
OWN_NAV1_114-450.wav: eesah 5 0 4, eesah 5 0 4, turn your Nav 1 radio, to frequency, one one fower, point, fower fife zero
OWN_NAV1_114-650.wav: eesah 5 0 4, eesah 5 0 4, turn your Nav 1 radio, to frequency, one one fower, point, six fife zero
OWN_NAV1_115-400.wav: eesah 5 0 4, eesah 5 0 4, turn your Nav 1 radio, to frequency, one one fife, point, fower zero zero
OWN_NAV2_110-500.wav: eesah 5 0 4, eesah 5 0 4, turn your Nav 2 radio, to frequency, one one zero, point, fife zero zero
OWN_NAV2_111-400.wav: eesah 5 0 4, eesah 5 0 4, turn your Nav 2 radio, to frequency, one one one, point, fower zero zero
OWN_NAV2_111-650.wav: eesah 5 0 4, eesah 5 0 4, turn your Nav 2 radio, to frequency, one one one, point, six fife zero
OWN_NAV2_112-450.wav: eesah 5 0 4, eesah 5 0 4, turn your Nav 2 radio, to frequency, one one two, point, fower fife zero
OWN_NAV2_112-600.wav: eesah 5 0 4, eesah 5 0 4, turn your Nav 2 radio, to frequency, one one two, point, six zero zero
OWN_NAV2_113-500.wav: eesah 5 0 4, eesah 5 0 4, turn your Nav 2 radio, to frequency, one one tree, point, fife zero zero
OWN_NAV2_113-550.wav: eesah 5 0 4, eesah 5 0 4, turn your Nav 2 radio, to frequency, one one tree, point, fife fife zero
OWN_NAV2_114-450.wav: eesah 5 0 4, eesah 5 0 4, turn your Nav 2 radio, to frequency, one one fower, point, fower fife zero
OWN_NAV2_114-600.wav: eesah 5 0 4, eesah 5 0 4, turn your Nav 2 radio, to frequency, one one fower, point, six zero zero
OWN_NAV2_115-650.wav: eesah 5 0 4, eesah 5 0 4, turn your Nav 2 radio, to frequency, one one fife, point, six fife zero
